Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Creature — Human Cleric,U,{2}{W},3,2,2,,0.07,,W
Enchantment,R,{B}{B}{B},3,,,,2.69,,B
Enchantment — Aura,C,{B},1,,,,0.06,,B
Instant,C,{U},1,,,,0.06,,U
Creature — Vampire Rogue Noble,C,{2}{B},3,2,2,,0.1,,B
Creature — Vampire,M,{1}{B}{B}{B},4,3,3,,6.36,,B
Creature — Human Soldier,C,{W}{W},2,2,3,,0.12,,W
Creature — Human Soldier,C,{2}{W},3,3,2,,0.22,,W
Creature — Viashino Warrior,C,{2}{R},3,2,1,,0.05,,R
Creature — Skeleton Wall,U,{2}{B},3,1,4,,0.19,,B
Creature — Wall,C,{3}{W},4,0,5,,0.13,,W
Creature — Wall,U,{1}{R}{R},3,0,5,,0.1,,R
Creature — Wall,U,{1}{U}{U},3,0,7,,0.19,,U
Sorcery,R,{5}{R}{R}{R},8,,,,0.52,,R
Creature — Zombie,C,{2}{B},3,3,2,,0.05,,B
Enchantment — Aura,C,{B},1,,,,0.07,,B
Artifact — Equipment,U,{3},3,,,,3.09,,
Creature — Human Knight,U,{W}{W},2,2,2,,0.12,,W
Creature — Drake,C,{2}{U},3,2,2,,0.02,,U
Instant,U,{X}{G},1,,,,0.09,,G
Artifact,U,{2},2,,,,0.1,,
Creature — Demon,M,{3}{B}{B}{B},6,7,7,,0.55,,B
Sorcery,C,{4}{R},5,,,,0.05,,R
Creature — Faerie,C,{U},1,1,1,,0.14,,U
Creature — Zombie Giant,C,{4}{B},5,4,3,,0.02,,B
Creature — Ooze,U,{3}{G}{G},5,2,2,,0.16,,G
Sorcery,C,{2}{R},3,,,,0.02,,R
Creature — Human Wizard,C,{1}{U}{U},3,2,2,,0.09,,U
Creature — Elemental,U,{4}{U},5,4,3,,0.04,,U
Legendary Planeswalker — Ajani,M,{2}{W}{W},4,,,4,6.2,,W
Enchantment,C,{1}{W},2,,,,0.22,,W
Creature — Cat Soldier,U,{1}{W},2,2,2,,0.21,,W
Creature — Siren,U,{1}{U},2,1,1,,0.04,,U
Creature — Dragon,R,{4}{R}{R}{R},7,6,6,,0.27,,R
Creature — Angel,R,{5}{W}{W},7,5,6,,1.32,,W
Artifact,U,{2},2,,,,0.08,,
Creature — Elemental Ox,C,{2}{R},3,5,1,,0.13,,R
Enchantment — Aura,U,{3}{W},4,,,,0.29,,W
Creature — Crab,C,{4}{U},5,2,5,,0.03,,U
Sorcery,C,{2}{B},3,,,,0.04,,B
Creature — Griffin,C,{3}{W},4,3,2,,0.04,,W
Creature — Bird,C,{1}{U},2,1,1,,0.22,,U
Instant,U,{G},1,,,,0.43,,G
Creature — Human Druid,U,{2}{G},3,1,1,,0.07,,G
Creature — Drake,C,{3}{U},4,2,4,,0.04,,U
Instant,U,{1}{G},2,,,,0.2,,G
Creature — Angel,M,{3}{W}{W},5,5,5,,2.15,,W
Creature — Vampire,C,{2}{B},3,3,2,,0.09,,B
Creature — Human Berserker,C,{4}{R},5,4,4,,0.03,,R
Creature — Bird,R,{G},1,0,1,,11.62,,G
Creature — Human Knight,U,{B}{B},2,2,2,,0.12,,B
Creature — Human Wizard,C,{1}{W},2,1,2,,0.07,,W
Sorcery,C,{3}{B},4,,,,0.23,,B
Creature — Goblin Berserker,C,{R},1,2,2,,0.1,,R
Creature — Vampire,C,{1}{B},2,1,1,,0.17,,B
Creature — Zombie,C,{2}{B},3,2,2,,0.07,,B
Creature — Boar,C,{2}{G},3,2,2,,0.04,,G
Artifact,R,{1},1,,,,0.26,,
Sorcery,U,{2}{U},3,,,,0.21,,U
Instant,C,{1}{U}{U},3,,,,0.05,,U
Creature — Minotaur Warrior,C,{3}{R},4,3,3,,0.03,,R
Creature — Vampire,R,{1}{B}{B},3,2,2,,6.92,,B
Instant,U,{1}{W},2,,,,0.14,,W
Legendary Planeswalker — Chandra,M,{3}{R}{R},5,,,6,1.21,,R
Instant,C,{2}{R}{R},4,,,,0.07,,R
Creature — Elemental,U,{2}{R},3,1,3,,0.12,,R
Creature — Vampire,C,{1}{B},2,2,1,,0.03,,B
Creature — Shapeshifter,R,{3}{U},4,0,0,,0.4,,U
Creature — Human Knight,C,{2}{W}{W},4,2,3,,0.08,,W
Creature — Elemental,C,{2}{U},3,2,3,,0.02,,U
Instant,U,{1}{R},2,,,,0.05,,R
Instant,U,{W},1,,,,0.11,,W
Creature — Sphinx,R,{2}{U}{U},4,4,4,,0.13,,U
Sorcery,U,{5}{B},6,,,,0.1,,B
Artifact,U,{3},3,,,,0.29,,
Creature — Troll,U,{2}{G}{G},4,4,3,,0.06,,G
Sorcery,C,{2}{G},3,,,,0.59,,G
Creature — Cyclops Warrior,R,{1}{R}{R}{R},4,4,4,,0.12,,R
Enchantment,R,{2}{B},3,,,,0.54,,B
Sorcery,R,{2}{W}{W},4,,,,2.16,,W
Sorcery,U,{B},1,,,,0.04,,B
Sorcery,C,{3}{R},4,,,,0.03,,R
Creature — Demon,M,{6}{B}{B}{B},9,9,9,,6.75,,B
Artifact,U,{2},2,,,,0.16,,
Sorcery,R,{5}{R}{R},7,,,,0.34,,R
Sorcery,U,{2}{B}{B},4,,,,0.8,,B
Instant,C,{U},1,,,,0.06,,U
Sorcery,C,{B},1,,,,0.05,,B
Instant,C,{1}{B},2,,,,0.21,,B
Artifact,U,{2},2,,,,0.19,,
Land,R,,0,,,,4.17,,BR
Land,R,,0,,,,6.97,,UB
Enchantment — Aura,C,{G},1,,,,0.09,,G
Sorcery,C,{B},1,,,,0.08,,B
Creature — Wurm,U,{5}{G}{G},7,7,7,,0.07,,G
Creature — Elemental,U,{5}{R},6,4,4,,0.04,,R
Creature — Human Soldier,U,{W},1,2,1,,0.07,,W
Artifact,U,{1},1,,,,0.55,,
Creature — Elf Druid,R,{1}{G}{G},3,2,2,,0.86,,G
Creature — Goblin,U,{R}{R},2,2,2,,0.05,,R
Sorcery,C,{2}{W},3,,,,0.02,,W
Creature — Elf Shaman,R,{1}{G},2,2,2,,11,,G
Creature — Elemental Dog,C,{1}{R}{R},3,2,2,,0.03,,R
Creature — Elemental,U,{3}{R}{R},5,4,3,,0.25,,R
Sorcery,U,{X}{R},1,,,,0.11,,R
Instant,U,{1}{U},2,,,,0.02,,U
Instant,C,{1}{R},2,,,,0.08,,R
Instant,C,{G},1,,,,0.12,,G
Sorcery,C,{3}{U},4,,,,0.12,,U
Basic Land — Forest,C,,0,,,,0.17,,
Creature — Giant,M,{4}{U}{U},6,6,6,,0.51,,U
Creature — Elemental,M,{5}{G}{G},7,8,5,,0.34,,G
Artifact Creature — Gargoyle,U,{3},3,3,3,,0.02,,
Legendary Planeswalker — Garruk,M,{2}{G}{G},4,,,3,5.52,,G
Creature — Beast,C,{G}{G},2,3,2,,0.07,,G
Creature — Beast,U,{4}{G},5,4,4,,0.22,,G
Instant,C,{G},1,,,,0.05,,G
Creature — Spider,C,{3}{G},4,2,4,,0.04,,G
Land,R,,0,,,,4.3,,WU
Creature — Goblin Warrior,C,{R},1,1,1,,0.06,,R
Creature — Goblin,R,{1}{R}{R},3,2,2,,3.65,,R
Creature — Goblin Warrior,C,{1}{R},2,2,1,,0.02,,R
Creature — Goblin Rogue,C,{1}{R},2,1,1,,0.06,,R
Creature — Insect,C,{W},1,0,1,,0.06,,W
Creature — Giant,M,{4}{B}{B},6,6,6,,9.86,,B
Creature — Zombie,C,{3}{B},4,2,2,,0.04,,B
Creature — Basilisk,C,{3}{G}{G},5,3,5,,0.04,,G
Creature — Serpent,C,{4}{U}{U},6,5,5,,0.05,,U
Sorcery,R,{3}{B}{B},5,,,,0.17,,B
Creature — Dragon,R,{3}{R}{R},5,4,4,,0.25,,R
Enchantment — Aura,C,{W},1,,,,0.06,,W
Enchantment,R,{1}{W},2,,,,1.07,,W
Instant,C,{G},1,,,,0.05,,G
Creature — Spirit,U,{2}{B}{B},4,3,3,,0.11,,B
Sorcery,C,{3}{G},4,,,,0.04,,G
Enchantment — Aura,C,{1}{U},2,,,,0.08,,U
Instant,C,{R},1,,,,0.05,,R
Creature — Human Soldier,C,{W},1,1,1,,0.05,,W
Creature — Giant,M,{4}{R}{R},6,6,6,,2.13,,R
Instant,C,{2}{W}{W},4,,,,0.03,,W
Basic Land — Island,C,,0,,,,0.16,,
Legendary Planeswalker — Jace,M,{1}{U}{U},3,,,3,2.72,,U
Enchantment,C,{1}{U},2,,,,0.24,,U
Instant,U,{3}{U}{U},5,,,,0.08,,U
Artifact,R,{2},2,,,,0.5,,
Artifact Creature — Juggernaut,U,{4},4,5,3,,0.05,,
Creature — Human Knight,R,{1}{W}{W},3,2,2,,6.85,,W
Artifact,U,{2},2,,,,0.08,,
Sorcery,C,{4}{R},5,,,,0.11,,R
Enchantment,R,{2}{U}{U},4,,,,3.92,,U
Enchantment,R,{2}{R}{R},4,,,,1.93,,R
Enchantment,R,{2}{W}{W},4,,,,7.74,,W
Enchantment,R,{2}{B}{B},4,,,,8.24,,B
Enchantment,R,{2}{G}{G},4,,,,1.98,,G
Instant,C,{R},1,,,,0.88,,R
Legendary Planeswalker — Liliana,M,{3}{B}{B},5,,,5,8.11,,B
Enchantment,U,{1}{B},2,,,,5.15,,B
Creature — Specter,C,{1}{B}{B},3,2,1,,0.21,,B
Creature — Elf Druid,C,{G},1,1,1,,0.24,,G
Creature — Phoenix,R,{3}{R}{R},5,3,3,,0.2,,R
Instant,C,{1}{U},2,,,,0.2,,U
Creature — Human Warrior,C,{2}{R},3,2,2,,0.06,,R
Creature — Merfolk Soldier,C,{1}{U},2,1,3,,0.02,,U
Sorcery,R,{5}{U},6,,,,0.61,,U
Creature — Merfolk Noble,R,{1}{U}{U},3,2,2,,0.64,,U
Creature — Merfolk Rogue,C,{U},1,1,1,,0.1,,U
Instant,C,{1}{W},2,,,,0.05,,W
Enchantment — Aura,U,{3}{U}{U},5,,,,0.15,,U
Sorcery,C,{2}{B},3,,,,0.02,,B
Creature — Ooze,R,{4}{G},5,4,4,,0.2,,G
Basic Land — Mountain,C,,0,,,,0.09,,
Land,R,,0,,,,1.19,,
Creature — Insect Shade,R,{B}{B},2,2,1,,0.24,,B
Instant,C,{1}{G},2,,,,0.04,,G
Sorcery,U,{1}{G},2,,,,0.12,,G
Enchantment — Aura,R,{2}{B}{B},4,,,,0.21,,B
Instant,C,{1}{U},2,,,,0.17,,U
Creature — Horror,C,{3}{B},4,4,2,,0.05,,B
Creature — Shade,C,{4}{B},5,2,2,,0.1,,B
Creature — Beast,R,{2}{G}{G},4,4,4,,0.35,,G
Artifact Creature — Thopter,U,{0},0,0,2,,0.3,,
Sorcery,R,{3}{G}{G},5,,,,3.79,,G
Enchantment — Aura,C,{1}{W},2,,,,0.06,,W
Creature — Human Soldier,C,{2}{W},3,1,4,,0.09,,W
Creature — Illusion Beast,C,{3}{U},4,4,5,,0.06,,U
Creature — Zombie,R,{B}{B}{B},3,5,5,,0.26,,B
Basic Land — Plains,C,,0,,,,0.14,,
Artifact Creature — Angel,M,{7},7,4,4,,13.16,,
Instant,C,{1}{G},2,,,,0.07,,G
Sorcery,C,{U},1,,,,0.38,,U
Enchantment — Aura,C,{G},1,,,,0.12,,G
Creature — Giant,M,{4}{G}{G},6,6,6,,5.92,,G
Creature — Unicorn,U,{3}{G},4,2,2,,0.1,,G
Creature — Human Wizard,U,{2}{R},3,1,1,,0.08,,R
Creature — Hydra,R,{X}{G},1,0,0,,3.38,,G
Instant,C,{1}{R},2,,,,1.6,,R
Sorcery,U,{1}{R},2,,,,0.18,,R
Enchantment — Aura,C,{2}{B},3,,,,0.04,,B
Creature — Skeleton Warrior,U,{1}{B},2,1,1,,0.24,,B
Instant,R,{U}{U},2,,,,0.25,,U
Creature — Rat,U,{1}{B}{B},3,2,2,,2.41,,B
Instant,R,{R}{R},2,,,,2.22,,R
Sorcery,U,{4}{B},5,,,,0.08,,B
Creature — Bird Egg,U,{2}{W},3,0,3,,0.1,,W
Land,R,,0,,,,4.1,,GR
Creature — Zombie,C,{4}{B},5,4,5,,0.05,,B
Creature — Human Assassin,R,{1}{B}{B},3,1,1,,2.01,,B
Creature — Bear,C,{1}{G},2,2,2,,0.08,,G
Creature — Wolf,C,{2}{G},3,3,1,,0.12,,G
Instant,C,{2}{W},3,,,,0.05,,W
Creature — Merfolk Rogue,C,{2}{U},3,1,3,,0.06,,U
Creature — Angel,U,{3}{W}{W},5,4,4,,0.09,,W
Creature — Human Monk,R,{W},1,1,1,,24.48,,W
Enchantment — Aura,U,{2}{R}{R},4,,,,0.08,,R
Creature — Elephant,C,{4}{W},5,3,5,,0.02,,W
Sorcery,C,{B}{B},2,,,,0.28,,B
Instant,R,{W},1,,,,6.07,,W
Creature — Cat,C,{1}{W},2,2,2,,0.03,,W
Sorcery,U,{2}{U}{U},4,,,,0.15,,U
Sorcery,C,{2}{W},3,,,,0.12,,W
Artifact,U,{4},4,,,,0.17,,
Creature — Wurm,C,{4}{G},5,5,4,,0.07,,G
Creature — Bird,C,{1}{W},2,1,1,,0.23,,W
Instant,C,{B},1,,,,0.05,,B
Artifact Creature — Construct,R,{2},2,1,1,,1.1,,
Artifact Creature — Golem,U,{5},5,4,4,,0.03,,
Creature — Pegasus,C,{1}{W},2,2,1,,0.07,,W
Creature — Leviathan,R,{5}{U}{U}{U},8,8,8,,0.38,,U
Creature — Giant,M,{4}{W}{W},6,6,6,,2.24,,W
Land,R,,0,,,,3.94,,GW
Basic Land — Swamp,C,,0,,,,0.24,,
Artifact — Equipment,R,{3},3,,,,0.57,,
Creature — Elf Scout Ranger,C,{1}{G},2,1,1,,0.17,,G
Artifact,R,{3},3,,,,4.22,,
Land,C,,0,,,,0.23,,
Instant,C,{1}{R},2,,,,0.05,,R
Sorcery,M,{3}{U}{U},5,,,,2.7,,U
Creature — Human Cleric,C,{4}{W},5,2,3,,0.04,,W
Sorcery,C,{U},1,,,,0.17,,U
Sorcery,R,{3}{U}{U},5,,,,3.07,,U
Artifact Creature — Construct,R,{6},6,1,1,,1.26,,
Enchantment — Aura,C,{B},1,,,,0.05,,B
Instant,C,{U},1,,,,0.06,,U
Creature — Archon,R,{4}{W}{W}{W},7,7,7,,0.21,,W
Creature — Vampire Wizard,C,{B},1,1,1,,0.31,,B
Enchantment — Aura,C,{1}{R},2,,,,0.05,,R
Artifact,U,{1},1,,,,2.12,,
Creature — Human Berserker,C,{3}{R},4,3,2,,0.02,,R
Creature — Wall,U,{1}{U}{U},3,0,7,,0.19,,U
Creature — Plant Wall,C,{G},1,0,3,,0.07,,G
Creature — Human Cleric,U,{1}{W},2,2,2,,0.16,,W
Artifact — Equipment,U,{3},3,,,,0.06,,
Creature — Elemental,U,{2}{U}{U},4,3,4,,0.1,,U
Artifact — Equipment,U,{3},3,,,,3.31,,
Creature — Human Knight,U,{W}{W},2,2,2,,0.16,,W
Enchantment,R,{5}{R},6,,,,0.52,,R
Creature — Griffin,C,{2}{W},3,2,2,,0.08,,W
Artifact,U,{2},2,,,,0.07,,
Creature — Wurm,C,{4}{G}{G},6,6,4,,0.08,,G
Creature — Ooze,U,{3}{G}{G},5,2,2,,0.15,,G
Sorcery,C,{2}{R},3,,,,0.06,,R
Artifact Creature — Construct,R,{3},3,2,2,,3.84,,
Creature — Angel,R,{4}{W}{W},6,5,5,,0.41,,W
Creature — Human Wizard,C,{1}{U}{U},3,2,2,,0.16,,U
Creature — Human Wizard,U,{1}{W},2,2,1,,0.07,,W
Creature — Siren,U,{1}{U},2,1,1,,0.05,,U
Creature — Salamander Rogue,C,{3}{U},4,2,4,,0.01,,U
Enchantment — Aura,M,{2}{W}{W},4,,,,4.03,,W
Artifact,U,{2},2,,,,0.13,,
Instant,C,{2}{W}{W},4,,,,0.05,,W
Creature — Spider,R,{5}{G},6,5,7,,0.21,,G
Enchantment — Aura,C,{2}{G},3,,,,0.1,,G
Creature — Human Archer,U,{2}{W}{W},4,2,3,,0.08,,W
Creature — Archon,R,{3}{W}{W},5,4,4,,0.22,,W
Creature — Horse,C,{W}{W},2,2,3,,0.08,,W
Creature — Griffin,C,{3}{W},4,3,2,,0.03,,W
Creature — Human Wizard,C,{2}{W},3,2,2,,0.15,,W
Instant,U,{G},1,,,,0.43,,G
Creature — Bird Soldier,C,{3}{U},4,2,2,,0.09,,U
Creature — Human Wizard,U,{1}{U},2,2,1,,0.08,,U
Creature — Sphinx,U,{4}{U},5,2,5,,0.07,,U
Creature — Human Soldier,C,{2}{W},3,2,2,,0.02,,W
Creature — Bird,R,{G},1,0,1,,13.38,,G
Creature — Ogre Warrior,C,{2}{R},3,2,2,,0.06,,R
Creature — Vampire Shaman,C,{1}{B},2,1,1,,0.22,,B
Creature — Vampire Warrior,M,{3}{B}{B},5,3,3,,0.67,,B
Creature — Vampire,C,{2}{B},3,3,1,,0.08,,B
Creature — Giant,C,{4}{R},5,4,4,,0.04,,R
Sorcery,C,{4}{G},5,,,,0.1,,G
Creature — Boar,C,{2}{G},3,2,2,,0.08,,G
Enchantment — Aura,C,{2}{B}{B},4,,,,0.06,,B
Land,U,,0,,,,0.66,,
Enchantment,R,{4}{B},5,,,,1.52,,B
Instant,C,{1}{U}{U},3,,,,0.05,,U
Creature — Wurm,U,{6}{G},7,6,6,,0.11,,G
Instant,U,{1}{W},2,,,,0.09,,W
Creature — Zombie,R,{1}{B}{B},3,2,2,,0.75,,B
Legendary Planeswalker — Chandra,M,{3}{R},4,,,3,1.68,,R
Instant,C,{2}{R}{R},4,,,,0.02,,R
Creature — Phoenix,R,{1}{R}{R},3,2,2,,0.33,,R
Creature — Drake,C,{4}{U},5,3,3,,0.02,,U
Creature — Vampire,C,{1}{B},2,2,1,,0.03,,B
Enchantment,U,{1}{R},2,,,,0.2,,R
Instant,U,{1}{R},2,,,,0.1,,R
Sorcery,U,{X}{1}{B},2,,,,0.12,,B
Creature — Merfolk,C,{1}{U},2,2,1,,0.04,,U
Creature — Human Shaman,U,{1}{R},2,2,1,,0.05,,R
Artifact,U,{2},2,,,,0.11,,
Artifact Creature — Golem,U,{5},5,7,4,,0.06,,
Creature — Troll,U,{2}{G}{G},4,4,3,,0.07,,G
Enchantment — Aura,C,{1}{B},2,,,,0.04,,B
Sorcery,R,{2}{W}{W},4,,,,2.11,,W
Sorcery,U,{B},1,,,,0.06,,B
Artifact,U,{2},2,,,,0.18,,
Instant,C,{W},1,,,,0.02,,W
Creature — Insect,C,{1}{B}{B},3,2,1,,0.16,,B
Sorcery,U,{2}{B}{B},4,,,,0.78,,B
Sorcery,C,{B},1,,,,0.08,,B
Sorcery,C,{B}{B},2,,,,0.24,,B
Sorcery,C,{2}{U},3,,,,0.03,,U
Enchantment — Aura,C,{1}{W},2,,,,0.02,,W
Creature — Djinn,R,{3}{U}{U},5,4,4,,0.1,,U
Instant,C,{1}{B},2,,,,0.21,,B
Sorcery,R,{5}{G},6,,,,0.27,,G
Artifact,U,{2},2,,,,0.21,,
Land,R,,0,,,,3.83,,BR
Creature — Shade,C,{3}{B},4,1,1,,0.04,,B
Land,R,,0,,,,5.57,,UB
Artifact,R,{3},3,,,,0.19,,
Creature — Treefolk,R,{2}{G},3,*,*,,0.86,,G
Creature — Bat,C,{1}{B},2,1,1,,0.04,,B
Creature — Human Soldier,U,{W},1,2,1,,0.05,,W
Artifact,U,{1},1,,,,0.59,,
Creature — Elf Druid,R,{1}{G}{G},3,2,2,,1.08,,G
Creature — Elemental Dog,C,{1}{R}{R},3,2,2,,0.01,,R
Sorcery,U,{X}{R},1,,,,0.11,,R
Enchantment — Aura,C,{R},1,,,,0.04,,R
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.37,,R
Instant,U,{1}{U},2,,,,0.03,,U
Enchantment — Aura,C,{U},1,,,,0.03,,U
Instant,C,{1}{R},2,,,,0.1,,R
Instant,C,{G},1,,,,0.17,,G
Basic Land — Forest,C,,0,,,,0.19,,
Instant,C,{2}{U},3,,,,0.03,,U
Creature — Giant,M,{4}{U}{U},6,6,6,,0.48,,U
Creature — Dragon,M,{4}{R}{R}{R},7,6,6,,2.53,,R
Legendary Planeswalker — Garruk,M,{2}{G}{G}{G},5,,,3,1.76,,G
Creature — Beast,C,{G}{G},2,3,2,,0.09,,G
Creature — Beast,R,{5}{G}{G},7,7,7,,0.19,,G
Creature — Spider,C,{3}{G},4,2,4,,0.02,,G
Legendary Planeswalker — Gideon,M,{3}{W}{W},5,,,6,0.49,,W
Creature — Human Soldier,R,{1}{W}{W},3,2,2,,0.39,,W
Creature — Human Soldier,C,{W},1,1,1,,0.08,,W
Land,R,,0,,,,3.36,,WU
Creature — Elf Scout,C,{G},1,1,1,,0.22,,G
Creature — Goblin Shaman,C,{R},1,1,1,,0.04,,R
Creature — Goblin Warrior,U,{2}{R}{R},4,2,2,,0.15,,R
Creature — Goblin,R,{1}{R}{R},3,2,2,,2.22,,R
Creature — Goblin Warrior,C,{R},1,1,1,,0.2,,R
Sorcery,U,{R},1,,,,0.66,,R
Creature — Goblin Warrior,C,{1}{R},2,2,1,,0.02,,R
Creature — Goblin Rogue,C,{1}{R},2,1,1,,0.08,,R
Enchantment — Aura,C,{1}{R},2,,,,0.04,,R
Creature — Minotaur Warrior,C,{2}{R}{R},4,3,3,,0.05,,R
Creature — Human Cleric,R,{W}{W},2,2,2,,28.54,,W
Creature — Giant,M,{4}{B}{B},6,6,6,,8.76,,B
Creature — Zombie,C,{3}{B},4,2,2,,0.05,,B
Creature — Basilisk,C,{3}{G}{G},5,3,5,,0.19,,G
Artifact — Equipment,U,{3},3,,,,0.07,,
Creature — Human Knight,C,{1}{W},2,1,1,,0.06,,W
Creature — Griffin,C,{2}{W},3,1,3,,0.02,,W
Creature — Human Wizard,R,{R},1,1,1,,0.24,,R
Instant,C,{1}{W}{W},3,,,,0.16,,W
Creature — Serpent,C,{4}{U}{U},6,5,5,,0.05,,U
Sorcery,C,{2}{B},3,,,,0.09,,B
Enchantment,R,{1}{W},2,,,,1.08,,W
Instant,U,{2}{G},3,,,,0.24,,G
Enchantment — Aura,C,{1}{U},2,,,,0.02,,U
Instant,C,{1}{R},2,,,,0.12,,R
Creature — Giant,M,{4}{R}{R},6,6,6,,1.37,,R
Basic Land — Island,C,,0,,,,0.12,,
Legendary Planeswalker — Jace,M,{3}{U}{U},5,,,4,7.55,,U
Creature — Vedalken Wizard,R,{1}{U}{U},3,2,2,,3.62,,U
Enchantment,C,{1}{U},2,,,,0.24,,U
Creature — Human Shaman,U,{1}{G},2,2,1,,0.25,,G
Artifact — Equipment,U,{0},0,,,,0.2,,
Artifact,U,{2},2,,,,0.13,,
Sorcery,C,{4}{R},5,,,,0.05,,R
Enchantment,U,{2}{U}{U},4,,,,0.17,,U
Enchantment — Aura,C,{W},1,,,,0.23,,W
Creature — Elemental,C,{3}{R},4,4,1,,0.03,,R
Creature — Elf Druid,C,{G},1,1,1,,0.28,,G
Creature — Human Wizard,R,{U}{U},2,2,2,,0.85,,U
Enchantment — Aura,U,{1}{G}{G},3,,,,0.09,,G
Creature — Crocodile,C,{2}{G},3,2,2,,0.11,,G
Instant,C,{1}{U},2,,,,0.18,,U
Enchantment,R,{3}{R},4,,,,2.6,,R
Artifact,C,{3},3,,,,0.11,,
Creature — Human Warrior,C,{2}{R},3,2,2,,0.03,,R
Creature — Human Rogue,U,{2}{U}{U},4,2,2,,0.12,,U
Creature — Merfolk Rogue,C,{1}{U},2,1,1,,0.08,,U
Creature — Merfolk Wizard,C,{1}{U},2,1,2,,0.12,,U
Creature — Human Druid,R,{1}{W}{W},3,0,2,,2.04,,W
Instant,C,{1}{W},2,,,,0.09,,W
Enchantment — Aura,U,{3}{U}{U},5,,,,0.1,,U
Sorcery,C,{2}{B},3,,,,0.06,,B
Enchantment,R,{4}{U}{U},6,,,,0.52,,U
Sorcery,R,{3}{B}{B},5,,,,0.18,,B
Basic Land — Mountain,C,,0,,,,0.13,,
Instant,C,{1}{G},2,,,,0.06,,G
Instant,C,{1}{U},2,,,,0.12,,U
Enchantment,U,{2}{W},3,,,,0.21,,W
Creature — Human Wizard,U,{1}{B},2,2,1,,0.15,,B
Sorcery,U,{2}{G}{G}{G},5,,,,0.3,,G
Enchantment — Aura,C,{1}{W},2,,,,0.11,,W
Artifact Creature — Construct,R,{7},7,0,0,,0.13,,
Creature — Griffin,C,{4}{W},5,2,4,,0.05,,W
Enchantment,R,{2}{W},3,,,,0.24,,W
Creature — Bear Illusion,C,{U},1,2,2,,0.07,,U
Creature — Dragon Illusion,U,{2}{U}{U},4,5,5,,0.14,,U
Creature — Illusion,R,{1}{U},2,0,0,,3.7,,U
Basic Land — Plains,C,,0,,,,0.12,,
Instant,C,{1}{G},2,,,,0.02,,G
Sorcery,C,{U},1,,,,2,,U
Creature — Cat Monk,C,{W},1,0,3,,0.13,,W
Creature — Giant,M,{4}{G}{G},6,6,6,,5.77,,G
Creature — Hydra,M,{X}{G}{G},2,0,0,,12.9,,G
Artifact,R,{4},4,,,,7.71,,
Sorcery,C,{1}{G},2,,,,0.26,,G
Creature — Skeleton Warrior,U,{1}{B},2,1,1,,0.25,,B
Instant,C,{G},1,,,,0.13,,G
Instant,R,{U}{U},2,,,,0.23,,U
Instant,R,{R}{R},2,,,,2.77,,R
Enchantment,R,{2}{G},3,,,,1.47,,G
Creature — Bird Egg,U,{2}{W},3,0,3,,0.11,,W
Land,R,,0,,,,4.07,,GR
Creature — Human Assassin,R,{1}{B}{B},3,1,1,,2.28,,B
Creature — Bear,C,{1}{G},2,2,2,,0.09,,G
Creature — Demon,R,{5}{B}{B},7,6,6,,7.42,,B
Artifact Creature — Golem,U,{4},4,3,4,,0.04,,
Creature — Wolf,C,{2}{G},3,3,1,,0.11,,G
Artifact,U,{3},3,,,,0.24,,
Sorcery,R,{6}{R}{R},8,,,,0.39,,R
Creature — Vampire,U,{3}{B}{B},5,4,4,,0.13,,B
Creature — Angel,U,{3}{W}{W},5,4,4,,0.07,,W
Instant,C,{R},1,,,,0.05,,R
Creature — Elephant,C,{4}{W},5,3,5,,0.03,,W
Creature — Human Shaman,R,{1}{G},2,1,1,,0.23,,G
Creature — Drake,C,{2}{U},3,3,1,,0.05,,U
Instant,C,{2}{R},3,,,,0.02,,R
Sorcery,U,{B}{B},2,,,,0.26,,B
Artifact Creature — Golem,R,{4},4,2,2,,0.99,,
Legendary Planeswalker — Sorin,M,{3}{B}{B}{B},6,,,4,9.51,,B
Instant,C,{B}{B},2,,,,0.14,,B
Sorcery,R,{4}{B}{B}{B},7,,,,0.71,,B
Creature — Sphinx,R,{5}{U}{U},7,5,6,,0.09,,U
Enchantment — Aura,U,{1}{W},2,,,,0.74,,W
Creature — Rhino,C,{4}{G},5,4,4,,0.07,,G
Instant,C,{W},1,,,,0.08,,W
Creature — Spider,U,{4}{G},5,2,5,,0.06,,G
Creature — Rhino Soldier,C,{3}{W},4,1,4,,0.26,,W
Creature — Human Berserker,U,{1}{R},2,1,1,,0.07,,R
Creature — Pegasus,C,{1}{W},2,2,1,,0.08,,W
Creature — Giant,M,{4}{W}{W},6,6,6,,0.88,,W
Artifact,R,{2},2,,,,7.46,,
Land,R,,0,,,,3.16,,GW
Creature — Zombie,R,{4}{B}{B}{B},7,*,*,,0.14,,B
Basic Land — Swamp,C,,0,,,,0.11,,
Artifact — Equipment,U,{2},2,,,,1.01,,
Sorcery,C,{B},1,,,,0.11,,B
Sorcery,U,{3}{R},4,,,,0.04,,R
Artifact Creature — Golem,U,{5},5,3,3,,0.14,,
Artifact,R,{4},4,,,,0.25,,
Sorcery,M,{3}{U}{U},5,,,,2.65,,U
Sorcery,U,{2}{W},3,,,,0.15,,W
Instant,C,{1}{G},2,,,,0.05,,G
Creature — Spirit,C,{B},1,1,1,,0.19,,B
